"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Oct-2024","EQ","1,076.95","1,076.95","1,032.50","1,065.75","1,035.00","1,037.70","1,049.97","1,189.00","425.55","2,83,836","29,80,19,615.90","21,332"
"18-Oct-2024","EQ","1,070.00","1,073.60","1,033.20","1,069.30","1,067.00","1,065.75","1,058.82","1,189.00","425.55","4,24,035","44,89,75,192.40","26,680"
"17-Oct-2024","EQ","1,119.05","1,129.90","1,050.00","1,109.45","1,070.00","1,069.30","1,100.91","1,189.00","425.55","9,85,469","1,08,49,17,481.90","49,529"
"16-Oct-2024","EQ","1,097.60","1,117.90","1,083.65","1,097.95","1,113.00","1,109.45","1,102.29","1,189.00","425.55","10,40,793","1,14,72,55,917.10","62,768"
"15-Oct-2024","EQ","1,104.80","1,120.35","1,085.05","1,085.20","1,094.00","1,097.95","1,101.69","1,189.00","425.55","10,58,800","1,16,64,65,960.85","55,973"
"14-Oct-2024","EQ","1,051.20","1,096.20","1,027.00","1,044.10","1,090.80","1,085.20","1,073.22","1,189.00","425.55","12,91,030","1,38,55,63,081.15","65,465"
"11-Oct-2024","EQ","1,036.45","1,055.75","1,031.60","1,036.45","1,042.95","1,044.10","1,045.83","1,189.00","425.55","3,58,546","37,49,79,674.40","21,328"
"10-Oct-2024","EQ","1,038.15","1,063.85","1,027.05","1,029.70","1,030.00","1,036.45","1,039.84","1,189.00","425.55","4,19,411","43,61,19,733.30","27,473"
"09-Oct-2024","EQ","1,020.05","1,062.35","1,016.05","1,005.50","1,030.45","1,029.70","1,042.22","1,189.00","425.55","10,38,848","1,08,27,13,246.20","55,731"
"08-Oct-2024","EQ","990.50","1,012.25","981.85","990.50","1,010.00","1,005.50","999.09","1,189.00","425.55","6,86,674","68,60,49,958.15","48,283"
"07-Oct-2024","EQ","1,022.85","1,040.90","983.00","1,015.65","989.00","990.50","1,006.75","1,189.00","425.55","7,98,872","80,42,65,557.25","47,476"
"04-Oct-2024","EQ","1,070.25","1,075.20","1,009.00","1,082.40","1,014.55","1,015.65","1,034.61","1,189.00","425.55","15,79,562","1,63,42,38,100.25","89,691"
"03-Oct-2024","EQ","1,100.00","1,144.30","1,065.00","1,137.35","1,072.90","1,082.40","1,103.03","1,189.00","425.55","19,58,130","2,15,98,78,507.20","76,543"
"01-Oct-2024","EQ","1,035.95","1,164.15","1,031.00","1,021.20","1,133.00","1,137.35","1,118.45","1,189.00","425.55","93,15,671","10,41,90,90,413.90","2,99,087"
"30-Sep-2024","EQ","1,037.80","1,050.00","1,016.00","1,044.50","1,027.30","1,021.20","1,029.77","1,189.00","425.55","3,61,786","37,25,57,759.95","22,338"
"27-Sep-2024","EQ","1,039.55","1,049.00","1,027.65","1,037.75","1,044.65","1,044.50","1,042.92","1,189.00","425.55","6,79,038","70,81,82,894.85","27,634"
"26-Sep-2024","EQ","1,093.35","1,094.80","1,030.00","1,092.15","1,035.00","1,037.75","1,057.96","1,189.00","425.55","12,51,325","1,32,38,50,183.70","61,113"
"25-Sep-2024","EQ","1,108.30","1,117.75","1,085.00","1,105.85","1,092.00","1,092.15","1,096.79","1,189.00","425.55","4,08,484","44,80,23,155.20","39,941"
"24-Sep-2024","EQ","1,084.60","1,122.00","1,071.05","1,084.80","1,104.00","1,105.85","1,104.17","1,189.00","425.55","9,74,785","1,07,63,25,715.45","54,252"
"23-Sep-2024","EQ","1,079.80","1,106.35","1,049.10","1,054.45","1,081.90","1,084.80","1,084.18","1,189.00","425.55","16,76,501","1,81,76,29,555.45","87,398"
"20-Sep-2024","EQ","1,019.90","1,085.95","993.10","1,010.10","1,082.00","1,054.45","1,047.02","1,189.00","425.55","26,32,390","2,75,61,56,872.60","1,00,954"
"19-Sep-2024","EQ","1,059.80","1,065.00","992.75","1,046.90","1,015.00","1,010.10","1,017.15","1,189.00","425.55","7,57,276","77,02,61,544.35","46,380"
"18-Sep-2024","EQ","1,019.95","1,060.00","1,019.60","1,019.50","1,048.00","1,046.90","1,048.07","1,189.00","425.55","10,96,619","1,14,93,34,823.15","54,563"
